WordID	MnID	Wd	SoundFile	PoS	Stem	Accent	Category	Description	Variation	RelatedWords	ExampleSentence																	
68		あいてぃんどー	ikmvoc_68.wav	感動詞			〘応答詞〙	〘応答詞〙そうらしい、そうだそうだ			A: まさいや　みがとぅどぅ　あらういだすたいな　B: あいてぃんどー（A: マサイはミガと婚約したのかい。B: そうらしいよ）。																	
69		あいてぃんぬがら	ikmvoc_69.wav	感動詞			〘応答詞〙	〘応答詞〙そうかも（しれない）		あいてぃんむがら	A: まさいや　みがうどぅ　とぅずあすがまたびゃーい。B: あいてぃんぬがら（A: マサイはミガを嫁さんにするのかね。B: そうかも（しれない）ね）。																	
70		あいてぃんむがら	ikmvoc_70.wav	感動詞			〘応答詞〙	〘応答詞〙そうかも（しれない）		あいてぃんぬがら	A: まさいや　みがうどぅ　とぅずあすがまたびゃーい。B: あいてぃんむがら（A:  マサイはミガを嫁さんにするのかね　B: そうかもしれない）。																	
71		あいな	ikmvoc_71.wav	感動詞			〘応答詞〙	〘応答詞〙そうなの、そうか			A: まさいや　みがうどぅ　とぅずあすがまたびゃーい。　B: あいな、あいどぅ　あたいな（A:  マサイはミガを嫁さんにするのかね。B: そうか、そうだったのか）。																	
72		あいぬ	ikmvoc_72.wav	連体詞				こんな、そんな、あんな			あいぬ　むぬ（｛こんな、そんな、あんな｝もの）。	あいぬ　んまり（｛こんな、そんな、あんな｝奴）。	あい　かいぬ　ばーだら（そう言う訳だよ）。	ばー　んめ　ふたかいまてぃや　あいぬ　くとぅーぎゃー　ほぅじゃーんば　たんでぃやらー　ゆらひー　ふぃーさまてぃ（私はもう二度とそんなことはしないのでお願いですから許してください）。														
73		あいぬ　かいぬ	ikmvoc_73.wav	成句				それくらいのことも、あんなことも　そんなことも			ばー　あいぬ　かいぬ　くとぅがまうまい　っさっだん（私はそれくらいのことも知らなかった）。	ばぬんな　あいぬ　かいぬ　むぬまい　とぅみらいん（わたしにはそれくらいのものも見つけられない（よ））。																
74		あいぬ　ばー	ikmvoc_74.wav	成句				そう言うわけ、こんな理由		かいぬ　ばー	っゔぁが　あっじゅーくとぅー　あいぬ　ばーだら（あなたが言っていることは（結局）そう言うことなんだよ）。	あいぬ　ばーやひどぅ　ばぬんな　がっこーや　いかいっだん（そう言うわけで私には学校に行けなかった）。	また　あいぬ　ばー（へー、そうなのか［応答詞として使われる］）。															
75		あいぬむぬ　かいぬむぬ	ikmvoc_75.wav	成句				あんなもの、こんなもの			あいぬむぬ　かいぬむぬ　むちーふーな（こんなもの持ってくるな）。																	
77		あいはず	ikmvoc_77.wav	感動詞			〘応答詞〙	〘応答詞〙そうだろう、そのはずだ		かいはず	A: まさいや　ってぃーどぅーな　B: あいはず（A: マサイは来たの。B: そのはずだ）。	あちゃー　あみびゃーいー。あいはず（明日は雨だろうね。だろうね）。																
78		あいひー	ikmvoc_78.wav	接続詞				そうすることで、そのあとで、そして	あやひー	かいひー	きゅーや　すとぅむてぃ　ひゃーひん　うきー、あしゃー　ふぁいー、あいひー　いんかい　いつたい（今日は朝早く起きて、朝ご飯を食べて、そして漁にでかけた）。	でぃんな　はーさ　まうきー　あいひー　ふにまい　かうたい（金を儲けて、それで船まで買った）。																
79		あいびゃ	ikmvoc_79.wav	感動詞				そうなんだ	あいば		あいびゃ、ばー　なうちゅんま　っさっだんさー（そうなんだ。私は全然知らなかったよ）。																	
80		あいびゃーん	ikmvoc_80.wav	成句				そうかな、そうだろうな［自分の考えを疑っているとき、相手の言うことを疑っているときの両方使える］		かいびゃーん	からー　かい　あっじゅーそぅが、あいびゃーん（あいつはそういっているが、そうなのかな）。	うらー　さにんな。あいびゃーん（これは月桃かな。ちがうかも）。																
81		あいふ	ikmvoc_81.wav	動詞	k語幹	C		歩く；（学校や会社に）通う；走る	あいつ		はいぬ　あっじゃう　あいふ（畑の端を歩く）。	ひとぅぬ　あいふ　んっちゅぎゃー　つっじゃん（人の歩く道をふさぐな）。	ばー　あてぃ　うだいやひどぅ　ひとまた　あいふきゃー　いっちゃ　はーみきーどぅー（私はとても太っているので一歩歩くと息が切れる）。	てぃびゅーぎゃー　みーだ　まいゆたーな　みー　あいき（後ろを見ずに前だけ見て歩け）。	いんぬ　あいふ（漁師をする［＜海を歩く］）。	がっこーんかい　じてんしゃひー　あいふ（学校に自転車で通学する［＜学校に自転車で歩く］）。	かいんな　んがいんやうんてぃ　そぅっゔぃー　あいき（あいつにおいつかれないように一生懸命走れ（［＜走って歩け］）。											
82		あいほぅーきゃー	ikmvoc_82.wav	成句				そうしている中に、そうこうしている間に	あやほぅーきゃー	かいほぅーきゃー	あいほぅーきゃー　ふにゃー　いでぃー　はりーにゃーん（そうしている間に船は出ていった）。																	
